1,-13;
17,8;
-18,28;
-11,-26;
22,-43;
-19,-16;
-18,-28;
0,-13;
-23,23;
30,-13;
23,-16;
-13,23;
-5,5;
-1,23;
-5,8;
13,-21;
5,14;
-18,-7;
-6,-29;
13,-2;
-1,8;
-35,25;
17,-8;
27,-2;
-4,20;
-6,-25;
10,-11;
19,15;
-26,17;
-9,13;
-1,-9;
-11,-38;
17,-11;
8,28;
-22,12;
9,0;
35,-7;
-18,-6;
-6,-15;
22,-5;
14,7;
13,-25;
22,-13;
14,-39;
0,-36;
23,12;
-11,12;
-31,0;
1,-17;
9,-9;
5,-32;
-5,-8;
-14,18;
-8,-21;
19,-25;
10,10;
-19,18;
3,-20;
1,-4;
19,4;
